label,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,PC15,PC16,PC17,PC18,PC19,PC20,PC21,PC22,PC23,PC24,PC25,PC26,PC27,PC28,PC29,PC30,PC31,PC32,PC33,PC34,PC35,PC36,PC37,PC38,PC39,PC40,PC41,PC42,PC43,PC44,PC45,PC46,PC47,PC48,PC49,PC50,PC51,PC52,PC53,PC54,PC55,PC56,PC57,PC58,PC59,PC60,PC61,PC62,PC63,PC64,PC65,PC66,PC67,PC68,PC69,PC70,PC71,PC72,PC73,PC74,PC75,PC76,PC77,PC78,PC79,PC80,PC81,PC82,PC83,PC84,PC85
3403.6854399999997,-7.84979071,-4.913324203,-4.562786607,17.60722851,-9.504661095,25.78475568,-12.24623197,-1.3141427140000002,17.24735696,-13.586694400000003,1.751458646,-33.70671016,-3.1110880410000004,13.75834267,73.19808484,-23.45079636,12.97311796,5.703557936,4.223246251,36.17303196,5.120981119,8.886326605,-2.579807316,-3.514037787,1.53528259,0.261104894,-5.097870585,-0.032846526,5.812062772999999,-4.072555283,-0.326381548,-4.752816646,-1.316940754,-5.008720385,1.759673002,0.41508132200000003,1.814655556,-8.396926545,2.9050858610000003,-5.158991226,2.065319618,4.537621328999999,1.6710999619999998,-6.158780847,-0.047451158,2.5961929219999997,-2.594423084,-1.686687413,-6.7406275120000005,2.199741447,3.7835124139999996,-0.755594091,-0.358482594,1.000170224,-0.223966833,-0.511597866,3.04817214,-4.651110646,2.249808202,3.650966048,2.530620037,-3.9102906369999997,3.83767169,-1.2236639679999999,-0.815489288,2.684115799,0.39140942,-4.478592156,2.374163528,0.90244698,-0.579327825,-4.684455957,1.07568949,3.2657560780000003,-1.444133996,-0.566622898,0.917980976,1.6386721569999998,-3.257251632,1.0250326140000001,1.763528296,-0.520800414,-0.772637977,-2.327079528,2.303890715
251.7446176,-5.780861915,-2.260956272,-3.2741516269999997,-4.481350127,-4.890759687,-1.149923681,1.215108494,0.166120001,17.9671258,0.7176873709999999,0.5341633929999999,3.200673855,-2.101218452,-2.543725893,-1.021146737,1.006686264,-7.023030191,2.254460093,-2.857561239,-1.061010194,-4.6321954739999995,11.52014223,-4.372278624,-2.205057022,-4.929814452,-7.273404436,-3.8162362510000003,-0.5427486,-11.44796288,-1.033869028,-13.67413305,2.3780516119999997,6.987360258,-7.559331967,-2.217772407,8.266027153,-15.18473376,-10.88921454,-16.46016371,20.03379145,3.934838482,1.191794227,8.949373827999999,9.877130193,-12.58453067,-1.4657790019999999,3.472389399,-1.373163621,-6.545467668,13.90364336,4.318625187,9.031128731,21.58061496,-7.597027645,22.07425483,-13.00130786,-22.30961689,-5.2965871689999995,-2.368946848,5.277083108,-5.927694625,4.057592748999999,-1.240352329,-5.411367997999999,31.41155852,-5.42346615,-7.718055024,3.542986631,27.83984465,-15.85923458,10.87953198,-0.47150717299999995,-3.750648309,-18.77205101,5.514277756,3.988009917,15.53996638,11.29894855,-2.610213018,2.920187869,6.42914031,-2.415642654,13.43046209,-15.68137336,0.66971139
58.61654117,-0.11529748199999999,2.623161038,-2.422134522,-10.56760761,-3.596515596,0.808879681,-6.056784801,5.26749948,3.930020978,1.049189848,-0.079079305,4.600001496,-11.31430607,-1.472360863,-7.476030549,-3.2812753389999996,1.735332168,10.76486305,9.168876894,4.895992333,2.812515687,5.634497491,2.071260853,4.810322243,16.87779573,9.974734526,-17.48791088,-5.294773661,2.634386724,0.591444724,-6.803102646,-15.98114349,10.84498973,8.437501592,1.685219703,11.245092300000001,8.058498405,14.22421418,8.375978986,19.51664439,13.84972286,9.409143158,-12.15265764,2.672731583,12.16444303,8.310957171,0.31233045,1.907558606,9.213562357,11.7577099,2.676108482,0.035362347999999995,6.906278457999999,-7.526754117,-18.05765413,-6.923592985,6.34129693,0.860288961,8.159396976,17.71958552,10.14369223,-2.076657515,-16.37603445,0.816761959,-11.14155949,-13.15752226,2.905581958,-0.666860534,15.51238197,13.41904875,-4.904553503,2.900014362,-6.155956726,-6.707477914,-8.593864743,5.569717214,22.06447289,1.766314736,-13.69334972,-30.38268581,-12.72311455,-13.78924674,3.6017258969999997,-0.143254243,-3.961158132
5604.708497,-5.659466329,-8.265581136,-1.909666663,10.39520924,6.150846897999999,5.17144418,7.818915437999999,-11.84262482,8.569482784,8.587618094,4.400037243,2.5696346969999997,15.98792202,11.11695647,1.813999879,21.00847747,-16.49483785,-22.56313009,-49.4289046,17.66210051,41.25754775,-26.28963533,-1.031555421,7.948830374,8.454941202,-12.54891008,-28.63073745,-18.80907048,-0.728902635,20.29223599,1.8476000730000002,-9.187312967999999,8.497531329,5.871471704,4.58986593,7.406864301000001,-2.2623438,4.627636132,-4.276567205,-15.67381919,0.033399889,-4.475785032,-7.817164908,7.903869077,-1.710779399,-8.018214577,-3.580277006,7.6116295439999995,1.80289567,-4.854705298,-5.854501387000001,3.424310077,5.7873156429999995,4.438996833,2.05969993,-7.924851497000001,1.4406775719999998,0.099658098,-0.218275114,5.795711732999999,-3.0590115539999996,0.525321575,-1.058652297,3.604073758,-2.459232613,4.6112346230000005,-3.016731825,-2.220444666,-1.22232441,3.260055294,0.639168575,2.777276495,1.518046435,-1.077864592,2.936772496,-0.60879611,6.593741109,-0.309823603,-3.6106188710000002,-0.966437129,5.181483851,-3.3022732639999997,2.132198672,1.462758901,-2.265684229
3293.21153,5.326365033,84.29030385,34.12880965,21.08237662,1.071126628,2.409911005,-1.8263666969999999,-0.164939523,-0.522185164,1.359862205,-1.513069519,1.3801330059999999,1.8460031590000001,3.724830502,-0.15762912,-0.637993909,-1.423477086,-0.293120537,-0.46292739200000005,-0.003955953,2.429516637,-0.639360643,-0.852689591,2.742452278,1.4655190880000002,1.0588810229999999,1.78461497,-0.34835794600000003,0.46003778700000003,-0.530742629,-1.61602235,-2.3769444180000003,-1.544678037,1.2455685859999999,1.885390149,-0.783143935,1.3218822159999999,-0.838889124,-0.41158754399999997,1.618255029,1.9577634680000002,-0.131402959,0.132503025,0.996560343,-1.88419155,-1.41921253,-1.297624851,-0.15291093,0.5419373470000001,0.009060634,0.59817739,-0.6335635239999999,1.231657405,0.125064242,1.259415325,0.266897051,-0.8612409209999999,-0.393202583,-0.877094631,0.550084355,-0.7048788709999999,0.775887744,0.097283597,0.050156056,0.290444176,-0.187034758,-0.248587224,0.00672455,-0.111629899,-1.196012452,-0.399180108,0.7262178020000001,1.019137699,-1.234232635,-0.422405869,0.26893953600000003,-0.01585951,-0.262393375,1.449630099,0.9335059990000001,0.497208938,0.374302522,-0.78979826,-0.651459541,-0.566508744
690.0603821000001,-1.5300996999999998,0.72808668,0.23537533100000002,-9.027701112,-4.722197647,-3.82713923,-1.821276965,2.037600907,-5.55467685,-1.9047513280000001,-4.689823626,3.886550452,-7.090395742999999,-4.06277373,-1.90260195,-15.32070746,-5.059389264,-1.468945725,-2.27772904,2.125725245,-0.795260225,-4.786094383,10.94556327,-11.33856826,2.0768794230000003,2.567873924,-5.06948514,12.17422846,-7.747413486,0.269716797,1.81120547,-9.385662962,-15.91004544,4.032197848,-2.196719281,-5.926514634,-27.85568679,-4.333021351,27.74209907,-3.155274302,3.283726105,19.45869532,-18.10934701,6.428199049,18.22477909,-14.20732438,12.06218889,2.2976616340000002,23.43435759,-18.82407753,1.5277974619999999,4.530189476,3.562730409,18.67765904,14.93309318,-6.333723889,-0.23185265300000002,-19.82870099,13.43731362,-0.086170905,-7.287285576,11.12639945,8.388811849,-2.394650632,-5.563255019,-14.3754821,0.8143127659999999,-13.84319745,2.667310545,-0.7119521609999999,-9.303588261,-7.745509352999999,-10.60907521,7.531333484,5.026804884,-13.80695662,12.66225326,6.250752485,12.47545987,3.0308778210000002,2.965622601,17.60506712,7.717216156,3.1417956869999997,1.3991537019999998
1605.3971960000001,-5.421933498,-3.705565188,-5.899537822,0.9910291659999999,-5.908911098,2.599971321,-1.6691517280000001,0.225722497,-0.08401791800000001,-8.10091985,-15.07420944,-7.254638397999999,13.97666175,12.32161106,-1.9485300159999999,-2.620401093,-24.57944682,-21.75770373,2.134687424,-14.51955787,-4.052664962,36.32477642,20.45230083,10.01489829,53.08115812,-14.01472258,11.98084621,4.113373048,12.83033965,4.85536042,7.556093931,3.54250733,-18.80821725,-6.994558475,11.30532777,-5.151255368,3.8717378630000003,5.291890924,-15.08493225,-14.77506483,5.358094438,13.53592582,9.430478467,4.1914010710000005,1.484916401,-1.779016198,9.162600496,-0.573962833,3.59308653,-7.49444545,-10.66846116,-5.648492932999999,7.5689206239999995,0.10689071,0.708740739,5.928210942000001,-7.92083205,7.021115477,5.992013482000001,-7.08935991,7.319118165,-11.69629727,6.867006986,5.7435113520000005,0.9443840659999999,-1.2688948979999999,5.643034546,4.356474428,9.930449653,-4.547031823999999,-3.698776187,-1.6580404469999999,6.763364258999999,-2.245014151,5.144222145,-2.102943949,-2.274713667,-4.995379133999999,-1.033242125,-2.326594976,4.781442313,-3.9445342310000004,0.619704214,0.126818756,-4.969656672
4438.262965999999,-0.085800315,3.1975829819999997,0.221847815,-4.876405232,2.66697509,-2.915314884,14.80719174,10.31761036,-9.847024599,0.433448093,4.459093117,-4.941739372,7.48038421,-3.959729535,2.9798706569999998,-1.8584768130000002,-6.734003935,-18.24215119,-8.175051708,4.747294295,-16.5412934,-12.20128878,-7.456545243,-15.31010774,-5.06241656,33.96683474,0.38360933,16.78573244,16.29357911,-2.842912035,1.4860682319999998,16.88364995,13.60210599,-16.39468899,-0.6410134820000001,3.5753281830000003,-4.735406236,-7.741549627,-4.218530315,-14.45814529,1.138956082,-14.38341662,1.492317389,23.67555142,9.659083361,9.437031765,2.8734137669999997,0.754904912,13.67452727,27.20769612,-4.5344462960000005,-1.930425531,9.070300471,2.432633391,-4.2604525330000005,-0.91207199,-10.10392115,11.4410375,28.98016713,11.21551854,9.104482808,-19.5499752,7.010092612999999,-4.76472388,5.815969454,1.3027263059999998,-12.34571961,-5.526346427999999,-8.377277158,4.034031141,-5.354665651,4.58355317,3.43871859,11.89567939,-0.215629408,0.574202286,-3.458050805,0.45397754,3.147153175,-15.03211193,8.109068312,-3.373920263,-8.938995431,-1.8288967619999998,-5.8696029460000005
1415.996868,19.28660712,-38.28506271,81.85030248,-1.0076536520000001,-5.371704338,4.585697068,0.784208461,4.114814895,0.654183275,2.323194434,-2.355933155,-1.5455760280000002,2.914205649,1.6172358269999998,-1.457909197,-0.201271201,-1.022183933,0.6271157620000001,1.398333579,0.44982788700000004,-1.371343714,0.568624778,-0.3237633,0.354635075,1.512102092,1.744966596,-1.09466944,-1.6197269440000002,-1.157928598,-0.968112645,-0.41781785,-1.5746376569999998,0.467394951,1.635897022,1.0226425829999999,-1.1689977040000001,1.16240347,-2.37098899,-0.879392775,1.318315334,1.6487685419999998,-0.666753762,0.808796354,-1.854357585,-0.954273872,-0.26178327,1.0516987309999999,-1.176786528,1.335104204,0.34739541,-0.013168151999999999,-1.4916617159999999,-0.072435357,-1.561201361,-0.867868423,1.4885997619999998,-0.10250991300000001,-0.247917904,-1.496301373,-0.156826192,1.011329891,1.716826919,-0.41576999200000003,-0.502928395,1.6917298790000002,0.444531348,-0.19733515899999998,-0.087143537,-1.0740523370000001,0.24133996600000002,-0.589442836,0.6837981890000001,1.057289733,0.847649592,0.322746651,-0.772234465,-0.371764541,0.35494194,-0.095461364,0.7496801359999999,1.3660762169999998,-0.205600616,0.745911177,-0.39934046,-0.35302613200000005
2478.716844,-1.445733034,0.08695427800000001,-1.731535571,-3.7415927069999997,-3.04061536,-0.731971923,0.38286273200000004,0.58049459,1.971486586,-9.878678586,-1.613894386,-0.846858597,6.363507792,2.936248056,1.6265933000000001,-6.1345863529999995,-7.358422339,-0.438353551,-4.197255563,7.798575694,-2.094626008,-7.634790507000001,-3.63941459,-2.590940215,-5.682480002999999,-7.881636406,13.50946256,0.830120878,-12.41519393,3.5237061130000003,-1.155806043,16.34338048,7.09852999,-6.8661004310000004,-14.84650087,-1.026193433,7.145668621,8.114438228,12.30576252,-0.34277191700000004,3.032341727,-0.991717435,2.309413916,7.082656132,-11.25571042,10.01285898,17.37493126,19.23584371,5.8578979129999995,2.924306367,-4.916453453,-6.903063032,14.53069967,24.00626731,-6.044391274,5.490254201,10.66007794,0.46891417,-11.23165874,-15.98070314,29.12866034,17.83837862,-8.059318513,-22.02836252,-12.87132714,0.635262126,5.729168686,27.52949572,-13.0489306,-21.57152193,-5.611326188,-9.201962325,-2.9033484830000003,-4.975479928,-1.971999716,11.32623173,14.14409903,8.970635904,2.4050939159999998,2.7397779310000003,14.55987132,-4.483296333999999,-9.295085669,8.422935947000001,-4.871227785
